
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                  12412 Services                   0     16,404 K
RtkAudUService64.exe         12440 Services                   0      8,912 K
conhost.exe                  12520 Console                    1      2,280 K
SNAPOSS64.exe                12528 Services                   0      2,304 K
mysqld.exe                   12540 Services                   0      9,896 K
XDiskService.exe             12660 Services                   0      1,892 K
WsToastNotification.exe      12716 Console                    1      5,720 K
IntelGraphicsSoftware.Ser    12752 Services                   0     10,756 K
conhost.exe                  12856 Services                   0      2,588 K
conhost.exe                  13008 Console                    1      3,464 K
LanWlanWwanSwitchingServi    11824 Services                   0      7,012 K
SNAPOS64.exe                 13580 Console                    1      7,884 K
conhost.exe                  13604 Console                    1      2,340 K
ipf_helper.exe               13628 Console                    1      6,924 K
crashpad_handler.exe         13652 Console                    1      8,472 K
CefRendererProcess.exe       14220 Console                    1      7,560 K
AggregatorHost.exe            9860 Services                   0      8,992 K
CefRendererProcess.exe       14376 Console                    1     15,856 K
PresentMonService.exe        14496 Services                   0      2,144 K
conhost.exe                  14512 Services                   0      2,220 K
MicrosoftStartFeedProvide    15044 Console                    1     36,792 K
svchost.exe                  15452 Services                   0     20,608 K
ctfmon.exe                   15684 Console                    1     64,636 K
RtkAudUService64.exe         15848 Console                    1      6,860 K
svchost.exe                  15956 Services                   0     29,044 K
ChsIME.exe                   16352 Console                    1      2,348 K
vmcompute.exe                15340 Services                   0      6,920 K
CefRendererProcess.exe        6016 Console                    1      5,568 K
CefRendererProcess.exe        3720 Console                    1     22,252 K
AndrowsAssistant.exe         16580 Console                    1     20,480 K
TextInputHost.exe            16628 Console                    1     69,452 K
svchost.exe                  17316 Services                   0     24,904 K
WeChatAppEx.exe               8220 Console                    1     14,784 K
WeChatAppEx.exe              17680 Console                    1      9,708 K
WeChatAppEx.exe              17692 Console                    1     10,144 K
PhoneExperienceHost.exe      17856 Console                    1     76,116 K
svchost.exe                   5992 Console                    1     11,784 K
svchost.exe                  18544 Services                   0      2,004 K
svchost.exe                  18656 Console                    1      7,496 K
svchost.exe                  18996 Services                   0      7,056 K
msedge.exe                   19560 Console                    1    430,840 K
msedge.exe                   19616 Console                    1      9,232 K
msedge.exe                   19812 Console                    1    202,928 K
msedge.exe                   19824 Console                    1     58,104 K
msedge.exe                   19924 Console                    1     16,496 K
msedge.exe                   20032 Console                    1     49,432 K
msedge.exe                   20440 Console                    1     24,244 K
msedge.exe                   19380 Console                    1     15,536 K
msedge.exe                   18816 Console                    1     15,448 K
msedge.exe                   20256 Console                    1     13,976 K
msedge.exe                   21044 Console                    1     17,600 K
HP.ContextAware.exe          20632 Console                    1     40,540 K
msedge.exe                    2732 Console                    1     20,448 K
Weixin.exe                    4008 Console                    1    787,140 K
crashpad_handler.exe          4528 Console                    1      4,684 K
SecurityHealthSystray.exe    22040 Console                    1      4,096 K
SecurityHealthService.exe    22076 Services                   0     15,568 K
svchost.exe                  12504 Services                   0     12,764 K
RtkAudUService64.exe         22644 Console                    1     10,064 K
svchost.exe                  22976 Services                   0      4,748 K
msedge.exe                   16644 Console                    1     23,284 K
msedge.exe                   25240 Console                    1     18,488 K
YunDetectService.exe         25252 Console                    1      4,948 K
msedge.exe                   19388 Console                    1      8,316 K
ShellExperienceHost.exe      25876 Console                    1     51,932 K
RuntimeBroker.exe            25988 Console                    1     14,736 K
ApplicationFrameHost.exe     23572 Console                    1     30,824 K
HPNotifications.exe          17176 Console                    1      7,804 K
unsecapp.exe                 27492 Console                    1      5,024 K
BridgeCommunication.exe      27408 Console                    1      7,388 K
svchost.exe                  25084 Services                   0      5,680 K
msedge.exe                   10536 Console                    1     18,152 K
RuntimeBroker.exe             4348 Console                    1     17,468 K
WSHelper.exe                 27848 Console                    1     10,240 K
svchost.exe                  28228 Services                   0      2,276 K
jusched.exe                  28260 Console                    1      5,848 K
svchost.exe                  26908 Services                   0     20,764 K
svchost.exe                  28452 Services                   0      8,752 K
svchost.exe                  25144 Services                   0      9,128 K
svchost.exe                  28136 Services                   0     61,628 K
svchost.exe                  28292 Services                   0      7,384 K
CooCare.exe                  28508 Console                    1     20,692 K
backgroundTaskHost.exe        6616 Console                    1        856 K
jucheck.exe                   3948 Console                    1      5,876 K
svchost.exe                  18632 Services                   0      6,676 K
wpscloudsvr.exe               9568 Console                    1     39,952 K
wps.exe                       3124 Console                    1     37,628 K
promecefpluginhost.exe       28640 Console                    1     19,108 K
promecefpluginhost.exe       27024 Console                    1     18,192 K
svchost.exe                  27532 Console                    1      7,880 K
dllhost.exe                  11104 Console                    1      7,688 K
AppActions.exe               27180 Console                    1      9,448 K
WindowsTerminal.exe          27812 Console                    1     52,980 K
UserOOBEBroker.exe           11176 Console                    1      4,720 K
backgroundTaskHost.exe       21400 Console                    1        796 K
taskhostw.exe                31996 Console                    1     24,776 K
svchost.exe                  13912 Services                   0      3,264 K
backgroundTaskHost.exe       36072 Console                    1      1,100 K
Tencent.AndrowsExtensionF    35500 Console                    1     17,372 K
backgroundTaskHost.exe       36116 Console                    1      1,228 K
svchost.exe                  44792 Services                   0      2,408 K
msedge.exe                   30936 Console                    1     16,212 K
attu.exe                     34160 Console                    1     94,448 K
