
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    10.30.65.63:55701      39.105.102.99:443      ESTABLISHED     27024
  TCP    10.30.65.63:55845      183.60.8.150:80        CLOSE_WAIT      4008
  TCP    10.30.65.63:56032      157.148.61.240:80      CLOSE_WAIT      4008
  TCP    10.30.65.63:56073      119.3.160.204:11111    ESTABLISHED     9568
  TCP    10.30.65.63:56516      52.110.20.128:443      ESTABLISHED     55792
  TCP    10.30.65.63:56522      52.110.20.128:443      ESTABLISHED     55792
  TCP    10.30.65.63:56554      115.190.45.115:443     CLOSE_WAIT      64944
  TCP    10.30.65.63:56700      157.255.209.248:80     CLOSE_WAIT      4008
  TCP    10.30.65.63:57120      1.12.12.12:443         ESTABLISHED     21768
  TCP    10.30.65.63:57877      183.47.124.77:80       CLOSE_WAIT      4008
  TCP    10.30.65.63:59064      39.91.132.69:443       CLOSE_WAIT      9568
  TCP    10.30.65.63:59065      39.91.132.68:443       CLOSE_WAIT      9568
  TCP    10.30.65.63:59068      115.190.127.142:443    CLOSE_WAIT      9568
  TCP    10.30.65.63:59274      47.100.184.181:443     TIME_WAIT       0
  TCP    10.30.65.63:59277      123.180.156.65:443     TIME_WAIT       0
  TCP    10.30.65.63:59686      110.242.74.203:80      ESTABLISHED     9320
  TCP    10.30.65.63:60670      47.100.184.181:443     TIME_WAIT       0
  TCP    10.30.65.63:60672      106.11.232.234:443     TIME_WAIT       0
  TCP    10.30.65.63:60675      59.82.34.205:443       TIME_WAIT       0
  TCP    10.30.65.63:60680      203.119.204.148:443    TIME_WAIT       0
  TCP    10.30.65.63:60681      203.119.204.148:443    TIME_WAIT       0
  TCP    10.30.65.63:60683      59.82.120.242:443      TIME_WAIT       0
  TCP    10.30.65.63:60684      59.82.120.242:443      TIME_WAIT       0
  TCP    10.30.65.63:60685      203.119.204.148:443    TIME_WAIT       0
  TCP    10.30.65.63:60686      59.82.120.242:443      TIME_WAIT       0
  TCP    10.30.65.63:60690      58.221.74.3:443        TIME_WAIT       0
  TCP    10.30.65.63:60692      123.180.156.65:443     TIME_WAIT       0
  TCP    10.30.65.63:60698      47.100.184.181:443     TIME_WAIT       0
  TCP    10.30.65.63:60783      113.24.226.70:80       ESTABLISHED     9320
  TCP    10.30.65.63:61180      110.242.74.203:80      ESTABLISHED     9320
  TCP    10.30.65.63:62099      157.148.63.161:443     ESTABLISHED     3972
  TCP    10.30.65.63:62940      157.255.191.46:80      CLOSE_WAIT      4008
  TCP    10.30.65.63:63376      157.255.209.248:80     CLOSE_WAIT      4008
  TCP    10.30.65.63:63865      10.30.80.188:3306      ESTABLISHED     6228
  TCP    10.30.65.63:64098      10.30.67.5:7680        ESTABLISHED     26908
  TCP    10.30.65.63:64099      98.66.133.186:443      ESTABLISHED     23496
  TCP    10.30.65.63:64564      113.24.226.70:80       ESTABLISHED     9320
  TCP    10.30.65.63:64779      113.24.226.70:80       ESTABLISHED     9320
  TCP    10.30.65.63:64914      10.30.80.188:3306      CLOSE_WAIT      6228
  TCP    10.30.65.63:65439      39.91.132.69:443       CLOSE_WAIT      52364
  TCP    10.30.65.63:65440      115.190.63.128:443     CLOSE_WAIT      52364
  TCP    10.30.65.63:65475      112.34.111.149:80      ESTABLISHED     29752
  TCP    127.0.0.1:3080         127.0.0.1:50188        ESTABLISHED     34160
  TCP    127.0.0.1:4709         0.0.0.0:0              LISTENING       9568
  TCP    127.0.0.1:5283         0.0.0.0:0              LISTENING       3972
  TCP    127.0.0.1:5284         0.0.0.0:0              LISTENING       10192
  TCP    127.0.0.1:7897         127.0.0.1:49666        FIN_WAIT_2      21768
  TCP    127.0.0.1:7897         127.0.0.1:50201        ESTABLISHED     21768
  TCP    127.0.0.1:7897         127.0.0.1:51543        ESTABLISHED     21768
  TCP    127.0.0.1:7897         127.0.0.1:51583        ESTABLISHED     21768
  TCP    127.0.0.1:7897         127.0.0.1:53679        FIN_WAIT_2      21768
  TCP    127.0.0.1:7897         127.0.0.1:57156        FIN_WAIT_2      21768
  TCP    127.0.0.1:7897         127.0.0.1:57349        FIN_WAIT_2      21768
  TCP    127.0.0.1:7897         127.0.0.1:59272        TIME_WAIT       0
  TCP    127.0.0.1:7897         127.0.0.1:60645        TIME_WAIT       0
  TCP    127.0.0.1:8475         0.0.0.0:0              LISTENING       9320
  TCP    127.0.0.1:10000        0.0.0.0:0              LISTENING       25252
  TCP    127.0.0.1:12900        0.0.0.0:0              LISTENING       10192
  TCP    127.0.0.1:14013        0.0.0.0:0              LISTENING       4008
  TCP    127.0.0.1:14016        0.0.0.0:0              LISTENING       4008
  TCP    127.0.0.1:14019        0.0.0.0:0              LISTENING       4008
  TCP    127.0.0.1:14022        0.0.0.0:0              LISTENING       4008
  TCP    127.0.0.1:14023        0.0.0.0:0              LISTENING       4008
